"LATITUDE","LONGITUDE","GEOGRAPHY_NAME","GEOGRAPHY_NAME_TYPE","NUMERIC_VALUE","NUMERIC_VALUE_TYPE","GEOGRAPHIC_POPULATION","NUMERIC_VALUE_FOR_COLORING","OPACITY_VALUE_0_THRU_LT_1","RADIUS_VALUE_0_THRU_100","RECORD_NO","COLOR_NAME"
"34.6519880000","-118.2159450000","Quartz Hill CDP,CA","City","8.0000000000","Weather (NRP)","10003","-8",".76","1","1","RED"
"47.1734060000","-122.4120200000","Midland CDP,WA","City","6.0000000000","Weather (NRP)","10005","-6",".82","1","2","RED"
"38.7698210000","-89.6861090000","Highland city,IL","City","25.0000000000","Weather (NRP)","10012","-25",".25","1","3","RED"
"41.3602930000","-73.4139420000","Bethel CDP,CT","City","87.0000000000","Weather (NRP)","10012","-87",".39","1","4","YELLOW"
"29.9377540000","-90.2312180000","Waggaman CDP,LA","City","52.0000000000","Weather (NRP)","10017","-52",".44","1","5","ORANGE"
"27.8856480000","-82.3642560000","Progress Village CDP,FL","City","42.0000000000","Weather (NRP)","10020","-42",".74","1","6","ORANGE"
"32.2946900000","-81.2353480000","Rincon city,GA","City","12.0000000000","Weather (NRP)","10027","-12",".64","1","7","RED"
"40.0903480000","-74.8966790000","Croydon CDP,PA","City","64.0000000000","Weather (NRP)","10034","-64",".08","1","8","ORANGE"
"45.0744750000","-83.4435710000","Alpena city,MI","City","41.0000000000","Weather (NRP)","10034","-41",".77","1","9","ORANGE"
"44.2985400000","-120.8607190000","Prineville city,OR","City","13.0000000000","Weather (NRP)","10035","-13",".61","1","10","RED"
"36.2927390000","-88.3080570000","Paris city,TN","City","90.0000000000","Weather (NRP)","10043","-90",".30","1","11","YELLOW"
"38.6524930000","-94.3469990000","Harrisonville city,MO","City","68.0000000000","Weather (NRP)","10043","-68",".96","1","12","YELLOW"
"42.7248830000","-73.7070110000","Watervliet city,NY","City","58.0000000000","Weather (NRP)","10050","-58",".26","1","13","ORANGE"
"47.2272150000","-122.2362640000","Sumner city,WA","City","2.0000000000","Weather (NRP)","10053","-2",".94","1","14","RED"
"41.3494240000","-86.3194340000","Plymouth city,IN","City","84.0000000000","Weather (NRP)","10054","-84",".48","1","15","YELLOW"
"36.2402230000","-90.0472210000","Kennett city,MO","City","97.0000000000","Weather (NRP)","10062","-97",".09","1","16","YELLOW"
"30.3525160000","-97.3882960000","Elgin city,TX","City","74.0000000000","Weather (NRP)","10064","-74",".78","1","17","YELLOW"
"39.5349420000","-76.3463230000","Bel Air town,MD","City","69.0000000000","Weather (NRP)","10071","-69",".93","1","18","YELLOW"
"61.5811360000","-149.4607900000","Wasilla city,AK","City","81.0000000000","Weather (NRP)","10071","-81",".57","1","19","YELLOW"
"41.0549900000","-76.2510100000","Berwick borough,PA","City","89.0000000000","Weather (NRP)","10073","-89",".33","1","20","YELLOW"
"40.7382160000","-82.7813270000","Galion city,OH","City","40.0000000000","Weather (NRP)","10074","-40",".80","1","21","ORANGE"
"41.9242770000","-87.8379340000","River Grove village,IL","City","66.0000000000","Weather (NRP)","10076","-66",".02","1","22","ORANGE"
"40.8027520000","-85.8291740000","Wabash city,IN","City","79.0000000000","Weather (NRP)","10089","-79",".63","1","23","YELLOW"
"44.9290240000","-74.8929730000","Massena village,NY","City","75.0000000000","Weather (NRP)","10091","-75",".75","1","24","YELLOW"
"43.0413830000","-76.2485050000","Fairmount CDP,NY","City","29.0000000000","Weather (NRP)","10092","-29",".13","1","25","RED"
"42.7220490000","-92.4694620000","Waverly city,IA","City","19.0000000000","Weather (NRP)","10094","-19",".43","1","26","RED"
"40.2900620000","-76.8393760000","Progress CDP,PA","City","30.0000000000","Weather (NRP)","10094","-30",".10","1","27","RED"
"39.3420460000","-74.4826260000","Ventnor City city,NJ","City","20.0000000000","Weather (NRP)","10095","-20",".40","1","28","RED"
"47.2316230000","-122.3516480000","Fife city,WA","City","5.0000000000","Weather (NRP)","10096","-5",".85","1","29","RED"
"40.7780960000","-99.7463370000","Lexington city,NE","City","98.0000000000","Weather (NRP)","10097","-98",".06","1","30","YELLOW"
"36.0039590000","-106.0701310000","Española city,NM","City","78.0000000000","Weather (NRP)","10102","-78",".66","1","31","YELLOW"
"33.9295440000","-81.2339020000","Red Bank CDP,SC","City","19.0000000000","Weather (NRP)","10106","-19",".43","1","32","RED"
"31.3970540000","-103.5200890000","Pecos city,TX","City","79.0000000000","Weather (NRP)","10108","-79",".63","1","33","YELLOW"
"43.6447890000","-94.4640150000","Fairmont city,MN","City","99.0000000000","Weather (NRP)","10127","-99",".03","1","34","YELLOW"
"30.4904290000","-92.4190640000","Eunice city,LA","City","86.0000000000","Weather (NRP)","10140","-86",".42","1","35","YELLOW"
"42.9006000000","-78.6687750000","Lancaster village,NY","City","31.0000000000","Weather (NRP)","10144","-31",".07","1","36","RED"
"33.5880220000","-96.1900950000","Bonham city,TX","City","78.0000000000","Weather (NRP)","10157","-78",".66","1","37","YELLOW"
"27.8706080000","-97.2079060000","Ingleside city,TX","City","41.0000000000","Weather (NRP)","10165","-41",".77","1","38","ORANGE"
"47.2189120000","-123.1111900000","Shelton city,WA","City","6.0000000000","Weather (NRP)","10167","-6",".82","1","39","RED"
"38.8632700000","-90.0776440000","Wood River city,IL","City","71.0000000000","Weather (NRP)","10169","-71",".87","1","40","YELLOW"
"29.8387250000","-90.0774270000","Woodmere CDP,LA","City","17.0000000000","Weather (NRP)","10173","-17",".49","1","41","RED"
"35.5261040000","-97.6181060000","Warr Acres city,OK","City","63.0000000000","Weather (NRP)","10180","-63",".11","1","42","ORANGE"
"43.7958910000","-123.0572280000","Cottage Grove city,OR","City","27.0000000000","Weather (NRP)","10182","-27",".19","1","43","RED"
"36.5084870000","-80.6145380000","Mount Airy city,NC","City","92.0000000000","Weather (NRP)","10193","-92",".24","1","44","YELLOW"
"39.8928450000","-83.4388750000","London city,OH","City","79.0000000000","Weather (NRP)","10193","-79",".63","1","45","YELLOW"
"40.6765640000","-122.3809090000","Shasta Lake city,CA","City","10.0000000000","Weather (NRP)","10206","-10",".70","1","46","RED"
"44.4843280000","-71.2771230000","Berlin city,NH","City","16.0000000000","Weather (NRP)","10221","-16",".52","1","47","RED"
"33.9083410000","-84.2698760000","Doraville city,GA","City","52.0000000000","Weather (NRP)","10228","-52",".44","1","48","ORANGE"
"40.5412690000","-74.5892730000","Manville borough,NJ","City","60.0000000000","Weather (NRP)","10230","-60",".20","1","49","ORANGE"
"41.4047250000","-92.9192190000","Pella city,IA","City","98.0000000000","Weather (NRP)","10231","-98",".06","1","50","YELLOW"
"36.3930300000","-86.1566910000","Hartsville/Trousdale County,TN","City","92.0000000000","Weather (NRP)","10231","-92",".24","1","51","YELLOW"
"41.0512180000","-80.5927240000","Struthers city,OH","City","37.0000000000","Weather (NRP)","10242","-37",".89","1","52","ORANGE"
"45.0033910000","-122.7809280000","Silverton city,OR","City",".0000000000","Weather (NRP)","10242","0",".99","1","53","RED"
"34.2822540000","-81.6014610000","Newberry city,SC","City","85.0000000000","Weather (NRP)","10245","-85",".45","1","54","YELLOW"
"41.2063020000","-73.9867760000","West Haverstraw village,NY","City","12.0000000000","Weather (NRP)","10250","-12",".64","1","55","RED"
"28.0035160000","-81.6905660000","Cypress Gardens CDP,FL","City","90.0000000000","Weather (NRP)","10252","-90",".30","1","56","YELLOW"
"41.7103520000","-88.3337830000","Boulder Hill CDP,IL","City","53.0000000000","Weather (NRP)","10262","-53",".41","1","57","ORANGE"
